,nombreVoluntario,serviciosDisponibles,estrellas,opinion,nombreMiembro,fotoMiembro
0,Feliciana Cantón,"['Amigos y Ocio', 'El día a día']",5,"Gracias, ha sido toda una experiencia",Morena Pol,perfil_6mh.png
1,Amador Llopis,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Ha llegado tarde,Chelo Rojas,perfil_12mh.png
2,Jose Ignacio Godoy,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me acompañó en lo que necesitaba,Alma Luque,perfil_6mh.png
3,Emilio Calatayud,"['Nuevas Tecnologías', 'Burocracia']",3,Me ha resuelto muchas dudas,Ascensión Anaya,perfil_14mm.png
4,Inmaculada Bonet,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Leire Quiroga,perfil_6mh.png
5,Dominga Roca,"['Salud', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Luisa Cid,perfil_10mh.png
6,Amílcar Andrés,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",4,Es un encanto y me ayudó a hablar con mis nietos,Nando Lloret,perfil_8mm.png
7,Ciro Gil,['Burocracia'],5,No puedo estar más agradecida,Paco Perera,perfil_8mm.png
8,Joan Vazquez,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",3,Me ayudó en lo que necesitaba,Teodosio Carrera,perfil_8mm.png
9,Eligia Amor,"['Salud', 'El día a día']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Cruz España,perfil_7mh.png
10,Chelo Flor,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",2,No terminó de ayudarme,Ruperta Casares,perfil_14mm.png
11,Lilia Rivas,"['Nuevas Tecnologías', 'Salud', 'El día a día']",4,Es un encanto y me ayudó a hablar con mis nietos,Leandra Bilbao,perfil_9mm.png
12,Isidro Sanchez,"['Amigos y Ocio', 'El día a día', 'Burocracia']",5,Sin duda seguiré utilizando este servicio,Adelia Costa,perfil_7mh.png
13,Dolores Lobo,"['Nuevas Tecnologías', 'Servicios del Municipio']",3,Me ha resuelto muchas dudas,Herberto Duarte,perfil_12mh.png
14,Nydia Agudo,"['Amigos y Ocio', 'Burocracia']",5,Es un encanto y me ayudó a hablar con mis nietos,Bernabé Tomas,perfil_6mh.png
15,Martina Cuervo,['El día a día'],3,Me ha resuelto muchas dudas,Wálter Mayoral,perfil_9mm.png
16,José Rocamora,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Gran dia,Calixto Cabezas,perfil_6mh.png
17,Noé Cortés,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",4,No puedo estar más agradecida,Nico Uribe,perfil_6mh.png
18,Ildefonso Navarro,['Salud'],5,Qué bien que pudo ayudarme con mis papeles,Fidela Salamanca,perfil_7mh.png
19,Cristian Bru,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Álvaro Manzanares,perfil_9mm.png
20,Ricardo Caballero,['Burocracia'],4,Fue un día estupendo,Carmela Arrieta,perfil_9mm.png
21,Plinio Núñez,"['Salud', 'El día a día']",2,Ha llegado tarde,Clotilde Colomer,perfil_7mh.png
22,Elisabet Lamas,"['Salud', 'El día a día', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Buenaventura Amat,perfil_1mm.png
23,Noemí Aroca,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Puede mejorar,Manuelita Santiago,perfil_4mh.png
24,Luna Segovia,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",3,Me acompañó en lo que necesitaba,Concepción Molins,perfil_6mh.png
25,Brunilda Casanovas,['El día a día'],5,No hubiera podido estar más feliz,Alcides Calzada,perfil_7mh.png
26,Ágata Pinedo,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Sin duda seguiré utilizando este servicio,Beatriz Cabañas,perfil_12mh.png
27,Cayetano Marcos,"['Salud', 'Burocracia']",3,Me ha ayudado en lo que le he pedido,Ciriaco Olivera,perfil_9mm.png
28,Paula Pardo,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",4,Fue un día estupendo,Natividad Calatayud,perfil_12mh.png
29,Crescencia Fernandez,"['Nuevas Tecnologías', 'Salud', 'El día a día']",5,Qué bien que pudo ayudarme con mis papeles,Lupe Acevedo,perfil_4mh.png
30,Julie Baños,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,Qué bien que pudo ayudarme con mis papeles,Emma Nicolás,perfil_7mh.png
