,nombre,apellidos,nombreApellidos,movil,codigoPostal,pass,perfil,serviciosDisponibles,status,fotoV,bio,fechaInscripcion,estrellas,nOpinion
0,Feliciana,Cantón,Feliciana Cantón,662945246,27686,41069691,Voluntario,"['Amigos y Ocio', 'El día a día']",0,perfil_voluntaria_6.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",22/02/2022,4.2,6
1,Amador,Llopis,Amador Llopis,656288539,10616,66958988,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntario_6.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,29/03/2022,2.3,6
2,Jose Ignacio,Godoy,Jose Ignacio Godoy,647101372,07740,53773143,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,perfil_voluntario_6.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,26/03/2022,2.0,6
3,Emilio,Calatayud,Emilio Calatayud,678955409,18185,48142382,Ambos,"['Nuevas Tecnologías', 'Burocracia']",0,perfil_voluntaria_2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,24/04/2020,2.0,6
4,Inmaculada,Bonet,Inmaculada Bonet,654013720,17430,38249265,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntario_7.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,20/10/2020,2.8,6
5,Dominga,Roca,Dominga Roca,632590444,37300,74985159,Ambos,"['Salud', 'Servicios del Municipio']",1,perfil_voluntaria_10.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,02/01/2022,3.5,6
6,Amílcar,Andrés,Amílcar Andrés,680823532,44121,38811843,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",0,perfil_5vh.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,25/02/2022,2.8,6
7,Ciro,Gil,Ciro Gil,604155622,11311,16282385,Ambos,['Burocracia'],1,perfil_voluntario_2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,26/06/2019,2.7,6
8,Joan,Vazquez,Joan Vazquez,690876443,47219,37154169,Ambos,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,perfil_voluntario_7.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",20/01/2022,2.7,6
9,Eligia,Amor,Eligia Amor,684444339,24323,38437657,Ambos,"['Salud', 'El día a día']",0,perfil_11vm.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,18/04/2022,3.0,6
10,Chelo,Flor,Chelo Flor,620541206,12124,54540229,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",1,perfil_voluntario_5.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,08/05/2021,3.7,6
11,Lilia,Rivas,Lilia Rivas,677959458,04274,35137782,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día']",0,perfil_voluntario_8.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,07/12/2020,3.0,6
12,Isidro,Sanchez,Isidro Sanchez,666994370,23689,14904273,Voluntario,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,perfil_voluntario_7.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",30/01/2022,2.2,6
13,Dolores,Lobo,Dolores Lobo,684520957,36810,55147932,Voluntario,"['Nuevas Tecnologías', 'Servicios del Municipio']",0,perfil_voluntario_2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,16/07/2021,3.8,6
